config,seed,episodes,collision_rate,avg_speed,mean_return,mean_length,lane_changes_per_episode,avg_following_distance
balanced,0,20,0.45,27.839636,20.390455,22.65,4.5,37.55104
speed_heavy,0,200,0.615,28.567478,18.452006,21.09,5.775,36.345027
speed_heavy,1,200,0.725,29.147746,17.919361,19.485,4.75,38.931652
speed_heavy,2,200,0.54,28.631031,19.571616,22.415,5.15,36.535022
speed_lean,0,200,0.395,28.045099,21.620919,24.595,5.3,36.174211
speed_lean,1,200,0.375,27.579245,21.246213,24.81,6.285,36.145997
speed_lean,2,200,0.38,27.690324,21.284513,24.765,4.595,33.870953
balanced,0,200,0.465,27.914565,21.096063,23.42,4.725,38.462929
balanced,1,200,0.27,24.443727,21.499913,26.195,3.14,31.416295
balanced,2,200,0.305,26.011464,23.011906,26.635,5.615,32.850492
safety_lean,0,200,0.4,25.167063,22.858185,24.875,3.5,33.452275
safety_lean,1,200,0.475,24.933206,21.163321,23.215,2.745,31.780269
safety_lean,2,200,0.03,21.705473,26.352221,29.44,1.585,45.446667
safety_heavy,0,200,0.03,20.968017,28.584316,29.675,2.11,46.396822
safety_heavy,1,200,0.05,20.474911,28.007571,29.305,6.13,51.339154
safety_heavy,2,200,0.315,23.366019,24.360401,25.45,1.245,28.745694
